,Order ID,Customer ID,Product ID,Date,Original Price,Discount%,Customer Age,City,State,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings
25,OD0026,C026,P0018,08/03/22,999,0.3,22,Surat,Gujrat,Women,Topwear,T-Shirts,Wrogn,36,Black,4
26,OD0027,C027,P0019,13/06/22,1119,0.3,22,Surat,Gujrat,Women,Topwear,T-Shirts,Wrogn,36,Black,2
27,OD0028,C028,P0020,15/03/22,1119,0.35,29,Surat,Gujrat,Women,Topwear,T-Shirts,Wrogn,40,Orange,5
28,OD0029,C029,P0021,17/03/22,1119,0.35,29,Surat,Gujrat,Women,Topwear,T-Shirts,Wrogn,40,Beige,5
29,OD0030,C030,P0022,15/02/22,1119,0.35,29,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,40,Off white,5
30,OD0031,C031,P0023,12/03/23,985,0.35,29,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,40,Purple,4
31,OD0032,C032,P0024,08/04/22,985,0.35,41,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,42,Peach,4
32,OD0033,C033,P0024,27/11/22,985,0.35,42,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,42,Peach,4
33,OD0034,C034,P0024,19/04/21,985,0.4,43,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,42,Peach,4
34,OD0035,C035,P0025,15/09/21,985,0.4,44,Bengaluru,Karnataka,Women,Topwear,T-Shirts,Wrogn,42,Sea Green,4
35,OD0036,C036,P0026,25/05/21,369,0.15,45,Bengaluru,Karnataka,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Lavender,5
36,OD0037,C037,P0027,14/08/21,399,0.15,35,Bengaluru,Karnataka,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Black,5
37,OD0038,C038,P0028,26/06/22,399,0.15,36,Patna,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Blue,3
38,OD0039,C039,P0029,01/05/22,399,0.35,37,Patna,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,White,5
39,OD0040,C040,P0030,01/07/21,399,0.35,26,Patna,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Green,5
40,OD0041,C041,P0031,13/02/22,555,0.35,27,Patna,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Olive,4
41,OD0042,C042,P0032,03/03/22,555,0.35,28,Darbhanga,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Pink,3
42,OD0043,C043,P0033,26/02/22,555,0.55,29,Darbhanga,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Orange,5
43,OD0044,C044,P0034,28/06/21,555,0.55,30,Darbhanga,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Beige,4
44,OD0045,C045,P0035,28/02/23,675,0.55,31,Nalanda,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Off white,3
45,OD0046,C046,P0036,07/03/23,675,0.55,32,Nalanda,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Purple,5
46,OD0047,C047,P0037,27/11/21,675,0.5,33,Nalanda,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Peach,5
47,OD0048,C048,P0038,09/04/22,654,0.5,44,Gaya,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4
48,OD0049,C049,P0038,01/01/21,654,0.5,45,Gaya,Bihar,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4
49,OD0050,C050,P0038,10/12/21,654,0.5,46,Bhopal,Madhya Pradesh,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4
50,OD0051,C051,P0039,20/01/21,654,0.5,47,Bhopal,Madhya Pradesh,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,2
51,OD0052,C052,P0040,13/08/21,356,0.3,48,Bhopal,Madhya Pradesh,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,3
52,OD0053,C053,P0041,07/08/21,2235,0.32,49,Bhopal,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,44,Lavender,4
53,OD0054,C054,P0042,17/01/22,1125,0.25,17,Sagar,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,44,Lavender,5
54,OD0055,C055,P0043,04/09/22,2451,0.45,18,Sagar,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,44,Lavender,4
55,OD0056,C056,P0044,07/11/22,2263,0.15,19,Sagar,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,40,Lavender,4
56,OD0057,C057,P0045,04/12/21,1365,0.33,20,Sagar,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,40,Black,4
57,OD0058,C058,P0046,11/06/21,2453,0.42,21,Indore,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,40,Black,3
58,OD0059,C059,P0047,11/09/22,1555,0.42,22,Indore,Madhya Pradesh,Women,Topwear,T-Shirts,Adidas,40,Beige,2
59,OD0060,C060,P0048,03/01/22,1234,0.39,16,Kanpur,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Beige,5
60,OD0061,C061,P0049,11/03/22,2344,0.39,17,Kanpur,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Beige,4
61,OD0062,C062,P0050,29/01/23,2142,0.39,18,Kanpur,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Black,2
62,OD0063,C063,P0051,08/08/22,2612,0.39,19,Kanpur,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Blue,5
63,OD0064,C064,P0051,05/02/22,2243,0.3,20,Aligarh,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Blue,5
64,OD0065,C065,P0051,09/10/21,333,0.3,21,Aligarh,Uttar Pradesh,Women,Topwear,T-Shirts,Adidas,38,Blue,5
65,OD0066,C066,P0052,02/01/23,236,0.3,22,Aligarh,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,38,Black,5
66,OD0067,C067,P0053,27/05/21,456,0.25,23,Aligarh,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,38,Black,4
67,OD0068,C068,P0054,11/11/21,963,0.25,18,Prayagraj,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4
68,OD0069,C069,P0055,24/10/22,234,0.3,18,Prayagraj,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4
69,OD0070,C070,P0056,02/05/22,456,0.3,18,Prayagraj,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,42,Blue,3
70,OD0071,C071,P0057,31/01/22,564,0.3,18,Prayagraj,Uttar Pradesh,Men,Topwear,T-Shirts,Allen Solly,42,Blue,5
71,OD0072,C072,P0058,23/05/21,634,0.4,18,Prayagraj,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,46,Black,4
72,OD0073,C073,P0059,02/04/21,236,0.4,18,Prayagraj,Uttar Pradesh,Women,Topwear,T-Shirts,Allen Solly,46,Beige,2
73,OD0074,C074,P0060,11/06/22,444,0.4,23,Jalandhar,Punjab,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5
74,OD0075,C075,P0060,06/08/22,456,0.4,24,Jalandhar,Punjab,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5
75,OD0076,C076,P0060,16/01/23,963,0.4,25,Jalandhar,Punjab,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5
76,OD0077,C077,P0060,23/08/22,456,0.4,26,Jalandhar,Punjab,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5
77,OD0078,C078,P0061,27/01/23,1189,0.45,27,Amritsar,Punjab,Women,Topwear,T-Shirts,Allen Solly,44,Beige,5
78,OD0079,C079,P0062,17/07/21,1298,0.45,24,Amritsar,Punjab,Men,Topwear,T-Shirts,Allen Solly,44,Beige,5
79,OD0080,C080,P0063,20/12/21,1456,0.45,24,Amritsar,Punjab,Men,Topwear,Shirts,Allen Solly,44,Beige,4
80,OD0081,C081,P0064,02/11/21,1478,0.47,24,Amritsar,Punjab,Men,Topwear,Shirts,Allen Solly,36,Beige,4
81,OD0082,C082,P0065,19/01/22,256,0.47,24,Amritsar,Punjab,Men,Topwear,Shirts,Allen Solly,36,Beige,4
82,OD0083,C083,P0066,28/10/21,2698,0.46,24,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,36,White,5
83,OD0084,C084,P0067,01/06/22,2364,0.46,24,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,38,White,5
84,OD0085,C085,P0068,27/10/22,1236,0.46,24,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,40,White,3
85,OD0086,C086,P0069,18/06/21,756,0.3,24,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,42,White,5
86,OD0087,C087,P0070,02/09/22,326,0.3,24,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,44,White,5
87,OD0088,C088,P0071,22/03/21,453,0.3,22,Patiala,Punjab,Men,Topwear,Shirts,Allen Solly,38,White,4
88,OD0089,C089,P0072,05/07/22,326,0.3,23,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,46,Teal,3
89,OD0090,C090,P0073,22/04/22,456,0.3,24,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Teal,4
90,OD0091,C091,P0074,06/08/21,675,0.35,25,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Teal,5
91,OD0092,C092,P0075,22/08/22,654,0.35,26,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Teal,3
92,OD0093,C093,P0076,26/12/21,654,0.35,27,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,White,2
93,OD0094,C094,P0077,28/10/21,654,0.35,34,Jaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Off white,5
94,OD0095,C095,P0077,05/12/22,654,0.35,35,Jodhpur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Off white,5
95,OD0096,C096,P0077,01/09/21,356,0.35,36,Jodhpur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Off white,5
96,OD0097,C097,P0077,10/03/23,686,0.4,37,Jodhpur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Off white,5
97,OD0098,C098,P0077,05/07/21,456,0.4,38,Udaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,38,Off white,5
98,OD0099,C099,P0078,07/09/22,516,0.15,39,Udaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,42,Off white,4
99,OD0100,C100,P0079,27/01/23,355,0.15,40,Udaipur,Rajasthan,Men,Topwear,Shirts,Allen Solly,42,Off white,3
100,OD0101,C001,P0080,31/03/23,465,0.15,30,Mumbai,Maharashtra,Men,Topwear,Shirts,Allen Solly,42,Off white,5
101,OD0102,C002,P0081,05/04/22,965,0.35,35,Mumbai,Maharashtra,Men,Topwear,Shirts,Allen Solly,42,Off white,4
102,OD0103,C003,P0082,22/06/21,1158,0.35,36,Mumbai,Maharashtra,Men,Topwear,Shirts,Allen Solly,36,Off white,2
103,OD0104,C004,P0083,29/05/22,264,0.35,40,Pune,Maharashtra,Men,Topwear,Shirts,Allen Solly,36,Off white,5
104,OD0105,C005,P0084,10/12/22,433,0.35,25,Pune,Maharashtra,Men,Topwear,Shirts,Allen Solly,36,Off white,5
105,OD0106,C006,P0085,10/03/21,562,0.55,16,Pune,Maharashtra,Men,Topwear,Shirts,Allen Solly,36,Green,4
106,OD0107,C007,P0086,03/07/21,423,0.55,23,Pune,Maharashtra,Men,Topwear,Shirts,Allen Solly,40,Green,4
107,OD0108,C008,P0087,15/09/21,621,0.55,22,Pune,Maharashtra,Men,Topwear,Shirts,Allen Solly,40,Green,4
108,OD0109,C009,P0088,14/06/21,333,0.55,17,Hyderabad,Telangana,Men,Topwear,Shirts,Allen Solly,40,Sea Green,3
109,OD0110,C010,P0089,04/06/21,236,0.5,19,Hyderabad,Telangana,Men,Topwear,Shirts,Allen Solly,40,Sea Green,5
110,OD0111,C011,P0090,05/07/22,456,0.5,18,Hyderabad,Telangana,Men,Topwear,Shirts,Allen Solly,42,Sea Green,4
111,OD0112,C012,P0091,18/02/21,963,0.5,20,Hyderabad,Telangana,Men,Topwear,Shirts,Allen Solly,42,Peach,2
112,OD0113,C013,P0092,11/12/22,234,0.5,22,Raipur,Chhatisgarh,Men,Topwear,Shirts,Allen Solly,42,Peach,5
113,OD0114,C014,P0093,04/02/22,456,0.5,25,Raipur,Chhatisgarh,Men,Topwear,Shirts,Allen Solly,42,Peach,5
114,OD0115,C015,P0094,15/02/22,564,0.3,27,Ahmedabad,Gujrat,Men,Topwear,Shirts,Allen Solly,44,Peach,5
115,OD0116,C016,P0094,20/12/21,634,0.32,29,Ahmedabad,Gujrat,Men,Topwear,Shirts,Allen Solly,44,Peach,5
116,OD0117,C017,P0094,12/05/22,236,0.25,23,Ahmedabad,Gujrat,Men,Topwear,Shirts,Allen Solly,44,Peach,5
117,OD0118,C018,P0095,28/08/22,444,0.45,25,Ahmedabad,Gujrat,Men,Topwear,Shirts,Roadster,44,Peach,4
118,OD0119,C019,P0096,04/05/21,456,0.15,24,Ahmedabad,Gujrat,Men,Topwear,Shirts,Roadster,44,Sea Green,4
119,OD0120,C020,P0097,12/08/22,963,0.33,15,Ahmedabad,Gujrat,Men,Topwear,Shirts,Roadster,44,Sea Green,4
120,OD0121,C021,P0098,24/03/21,456,0.42,19,Vadodara,Gujrat,Men,Topwear,Shirts,Roadster,46,Sea Green,5
121,OD0122,C022,P0099,11/11/21,1189,0.42,19,Vadodara,Gujrat,Men,Topwear,Shirts,Roadster,46,Brown,5
122,OD0123,C023,P0100,22/03/23,1298,0.39,19,Vadodara,Gujrat,Men,Topwear,Shirts,Roadster,46,Brown,3
123,OD0124,C024,P0101,28/11/22,1456,0.39,22,Vadodara,Gujrat,Men,Topwear,Shirts,Roadster,46,Brown,5
124,OD0125,C025,P0102,05/02/23,1478,0.39,22,Vadodara,Gujrat,Men,Topwear,Shirts,Roadster,46,Brown,5
125,OD0126,C026,P0103,05/02/23,256,0.39,22,Surat,Gujrat,Men,Topwear,Shirts,Roadster,44,Brown,4
126,OD0127,C027,P0104,22/03/23,2698,0.3,22,Surat,Gujrat,Men,Topwear,Shirts,Roadster,44,Black,3
127,OD0128,C028,P0105,11/01/23,2364,0.3,29,Surat,Gujrat,Men,Topwear,Shirts,Roadster,44,Black,5
128,OD0129,C029,P0106,01/07/22,1236,0.3,29,Surat,Gujrat,Men,Topwear,Shirts,Roadster,44,Black,4
129,OD0130,C030,P0107,12/04/22,756,0.25,29,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,3
130,OD0131,C031,P0108,04/10/21,326,0.25,29,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
131,OD0132,C032,P0108,07/02/22,453,0.3,41,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
132,OD0133,C033,P0108,14/03/23,326,0.3,42,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
133,OD0134,C034,P0108,14/07/21,456,0.3,43,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
134,OD0135,C035,P0108,24/03/23,675,0.4,44,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
135,OD0136,C036,P0109,05/02/21,654,0.4,45,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,44,Mustard,5
136,OD0137,C037,P0110,04/02/22,654,0.4,35,Bengaluru,Karnataka,Men,Topwear,Shirts,Roadster,40,Mustard,4
137,OD0138,C038,P0111,16/01/21,654,0.4,36,Patna,Bihar,Men,Topwear,Shirts,Roadster,40,Red,2
138,OD0139,C039,P0112,18/01/21,654,0.4,37,Patna,Bihar,Men,Topwear,Shirts,Roadster,40,Red,3
139,OD0140,C040,P0113,18/04/22,356,0.4,26,Patna,Bihar,Men,Topwear,Shirts,Roadster,40,Red,4
140,OD0141,C041,P0113,10/10/21,686,0.45,27,Patna,Bihar,Men,Topwear,Shirts,Roadster,40,Red,4
141,OD0142,C042,P0113,02/08/21,456,0.45,28,Darbhanga,Bihar,Men,Topwear,Shirts,Roadster,40,Red,4
142,OD0143,C043,P0114,30/05/21,516,0.45,29,Darbhanga,Bihar,Men,Topwear,Shirts,Roadster,38,Red,5
143,OD0144,C044,P0115,10/02/22,355,0.47,30,Darbhanga,Bihar,Men,Topwear,Shirts,Roadster,38,Red,4
144,OD0145,C045,P0116,28/02/23,465,0.47,31,Nalanda,Bihar,Men,Topwear,Shirts,Roadster,38,Pink,4
145,OD0146,C046,P0117,03/11/21,965,0.46,32,Nalanda,Bihar,Men,Topwear,Shirts,Roadster,38,Pink,4
146,OD0147,C047,P0118,17/08/21,1158,0.46,33,Nalanda,Bihar,Men,Topwear,Shirts,Levis,38,Pink,3
147,OD0148,C048,P0119,02/04/21,264,0.46,44,Gaya,Bihar,Men,Topwear,Shirts,Levis,38,Red,2
148,OD0149,C049,P0120,08/02/21,433,0.3,45,Gaya,Bihar,Men,Topwear,Shirts,Levis,42,Orange,5
149,OD0150,C050,P0121,17/02/22,562,0.3,46,Bhopal,Madhya Pradesh,Men,Topwear,Shirts,Levis,42,Orange,4
150,OD0151,C051,P0122,24/05/21,423,0.3,47,Bhopal,Madhya Pradesh,Men,Topwear,Shirts,Levis,42,Pink,2
151,OD0152,C052,P0123,27/11/22,621,0.3,48,Bhopal,Madhya Pradesh,Men,Topwear,Shirts,Levis,42,Pink,5
152,OD0153,C053,P0124,20/07/22,333,0.3,49,Bhopal,Madhya Pradesh,Men,Topwear,Shirts,Levis,46,Pink,5
153,OD0154,C054,P0125,04/10/22,236,0.35,17,Sagar,Madhya Pradesh,Men,Topwear,Shirts,Levis,46,Orange,4
154,OD0155,C055,P0126,04/02/22,456,0.35,18,Sagar,Madhya Pradesh,Men,Topwear,Shirts,Levis,46,Teal,4
155,OD0156,C056,P0127,17/08/21,963,0.35,19,Sagar,Madhya Pradesh,Men,Topwear,Shirts,Levis,44,Grey,4
156,OD0157,C057,P0128,24/07/21,234,0.35,20,Sagar,Madhya Pradesh,Men,Topwear,Shirts,Levis,44,Grey,3
157,OD0158,C058,P0129,06/05/22,456,0.35,21,Indore,Madhya Pradesh,Men,Topwear,Shirts,Levis,44,Teal,5
158,OD0159,C059,P0130,08/11/21,564,0.35,22,Indore,Madhya Pradesh,Men,Topwear,Shirts,Levis,36,Teal,4
159,OD0160,C060,P0131,23/03/23,634,0.4,16,Kanpur,Uttar Pradesh,Men,Topwear,Shirts,Levis,36,Blue,2
160,OD0161,C061,P0132,02/08/21,236,0.4,17,Kanpur,Uttar Pradesh,Men,Topwear,Shirts,Levis,36,Black,5
161,OD0162,C062,P0133,15/07/21,444,0.15,18,Kanpur,Uttar Pradesh,Men,Topwear,Shirts,Levis,36,Black,5
162,OD0163,C063,P0134,26/03/23,456,0.15,19,Kanpur,Uttar Pradesh,Men,Topwear,Shirts,Levis,38,Black,5
163,OD0164,C064,P0135,26/07/22,963,0.15,20,Aligarh,Uttar Pradesh,Men,Topwear,Shirts,Levis,38,Blue,4
164,OD0165,C065,P0136,24/02/23,456,0.35,21,Aligarh,Uttar Pradesh,Men,Topwear,Shirts,Levis,38,Blue,4
165,OD0166,C066,P0137,24/04/22,1189,0.35,22,Aligarh,Uttar Pradesh,Men,Topwear,Shirts,Levis,38,Blue,4
166,OD0167,C067,P0138,01/02/21,1298,0.35,23,Aligarh,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,40,Blue,5
167,OD0168,C068,P0138,01/02/22,1456,0.35,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,40,Blue,5
168,OD0169,C069,P0138,30/11/22,1478,0.55,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,40,Blue,5
169,OD0170,C070,P0139,16/03/22,256,0.55,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,40,Blue,5
170,OD0171,C071,P0140,11/12/22,2698,0.55,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,40,Grey,3
171,OD0172,C072,P0141,13/02/21,2364,0.55,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,42,Grey,5
172,OD0173,C073,P0142,12/03/22,1236,0.5,18,Prayagraj,Uttar Pradesh,Men,Topwear,Shirts,Van Heusen,42,Grey,5
173,OD0174,C074,P0143,13/06/21,756,0.5,23,Jalandhar,Punjab,Men,Topwear,Shirts,Van Heusen,42,Black,4
174,OD0175,C075,P0144,09/01/21,326,0.5,24,Jalandhar,Punjab,Men,Topwear,Shirts,Van Heusen,42,Black,3
175,OD0176,C076,P0145,11/08/21,453,0.5,25,Jalandhar,Punjab,Men,Topwear,Shirts,Van Heusen,42,Black,3
176,OD0177,C077,P0146,14/03/23,326,0.5,26,Jalandhar,Punjab,Men,Topwear,Shirts,Van Heusen,42,Black,5
177,OD0178,C078,P0147,03/10/22,456,0.3,27,Amritsar,Punjab,Men,Topwear,Shirts,Van Heusen,44,Magenta,5
178,OD0179,C079,P0148,10/02/22,456,0.32,24,Amritsar,Punjab,Men,Topwear,Shirts,Van Heusen,44,Magenta,4
179,OD0180,C080,P0149,26/12/21,456,0.25,24,Amritsar,Punjab,Men,Topwear,Shirts,Van Heusen,44,Magenta,2
180,OD0181,C081,P0150,19/06/22,456,0.45,24,Amritsar,Punjab,Men,Topwear,Shirts,Wrogn,44,Coffee Brown,3
181,OD0182,C082,P0151,04/12/22,236,0.15,24,Amritsar,Punjab,Men,Topwear,Shirts,Wrogn,44,Coffee Brown,4
182,OD0183,C083,P0152,01/04/22,996,0.33,24,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,46,Coffee Brown,5
183,OD0184,C084,P0153,19/09/22,654,0.42,24,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,46,Skin,4
184,OD0185,C085,P0154,21/08/21,456,0.42,24,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,46,Skin,4
185,OD0186,C086,P0155,16/01/21,785,0.39,24,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,46,Skin,4
186,OD0187,C087,P0156,11/09/22,365,0.39,24,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,38,Cream,3
187,OD0188,C088,P0157,13/05/22,965,0.39,22,Patiala,Punjab,Men,Topwear,Shirts,Wrogn,40,Cream,2
188,OD0189,C089,P0158,06/10/21,444,0.39,23,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,42,Cream,5
189,OD0190,C090,P0159,28/07/21,569,0.3,24,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,44,Cream,4
190,OD0191,C091,P0160,01/08/22,475,0.3,25,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Turquoise Blue,2
191,OD0192,C092,P0161,26/06/22,598,0.3,26,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,46,Turquoise Blue,5
192,OD0193,C093,P0162,09/05/22,536,0.25,27,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Turquoise Blue,5
193,OD0194,C094,P0163,13/06/22,256,0.25,34,Jaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Turquoise Blue,4
194,OD0195,C095,P0164,14/07/22,456,0.3,35,Jodhpur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Red,4
195,OD0196,C096,P0165,17/04/21,456,0.3,36,Jodhpur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Red,4
196,OD0197,C097,P0166,11/07/22,745,0.3,37,Jodhpur,Rajasthan,Men,Topwear,Shirts,Wrogn,38,Red,3
197,OD0198,C098,P0167,16/09/22,356,0.4,38,Udaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,42,Orange,5
198,OD0199,C099,P0168,23/01/22,1189,0.4,39,Udaipur,Rajasthan,Men,Topwear,Shirts,Wrogn,42,Orange,4
