,order_id,quantity,order_date,unit_price,total_price,pizza_size,pizza_category,pizza_name,Day of the Week,Month of the Year
103,42,1,2015-01-01,16.5,16.5,M,Supreme,The Pepper Salami Pizza,Thursday,January
104,43,1,2015-01-01,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza,Thursday,January
105,43,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
106,43,1,2015-01-01,20.75,20.75,L,Supreme,The Pepper Salami Pizza,Thursday,January
107,44,1,2015-01-01,12.5,12.5,S,Veggie,The Spinach Pesto Pizza,Thursday,January
108,45,1,2015-01-01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Thursday,January
109,45,1,2015-01-01,10.5,10.5,S,Classic,The Hawaiian Pizza,Thursday,January
110,45,1,2015-01-01,16.75,16.75,M,Chicken,The Thai Chicken Pizza,Thursday,January
111,46,1,2015-01-01,20.75,20.75,L,Chicken,The Chicken Pesto Pizza,Thursday,January
112,46,1,2015-01-01,20.5,20.5,L,Classic,The Classic Deluxe Pizza,Thursday,January
113,46,1,2015-01-01,16.75,16.75,M,Chicken,The Thai Chicken Pizza,Thursday,January
114,47,1,2015-01-01,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Thursday,January
115,47,1,2015-01-01,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza,Thursday,January
116,48,1,2015-01-01,16.75,16.75,M,Chicken,The Chicken Pesto Pizza,Thursday,January
117,48,1,2015-01-01,12.0,12.0,S,Veggie,The Green Garden Pizza,Thursday,January
118,48,1,2015-01-01,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza,Thursday,January
119,48,1,2015-01-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Thursday,January
120,49,1,2015-01-01,20.25,20.25,L,Supreme,The Sicilian Pizza,Thursday,January
121,50,1,2015-01-01,25.5,25.5,XL,Classic,The Greek Pizza,Thursday,January
122,51,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
123,51,1,2015-01-01,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
124,52,1,2015-01-01,16.5,16.5,L,Classic,The Hawaiian Pizza,Thursday,January
125,52,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
126,52,1,2015-01-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Thursday,January
127,53,1,2015-01-01,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
128,53,1,2015-01-01,16.5,16.5,M,Supreme,The Spinach Supreme Pizza,Thursday,January
129,54,1,2015-01-01,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza,Thursday,January
130,54,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
131,55,1,2015-01-01,12.5,12.5,S,Supreme,The Pepper Salami Pizza,Thursday,January
132,55,1,2015-01-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Thursday,January
133,56,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
134,56,1,2015-01-01,20.25,20.25,L,Veggie,The Mediterranean Pizza,Thursday,January
135,56,1,2015-01-01,16.75,16.75,M,Chicken,The Southwest Chicken Pizza,Thursday,January
136,57,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
137,58,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
138,58,1,2015-01-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Thursday,January
139,59,1,2015-01-01,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Thursday,January
140,59,1,2015-01-01,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
141,59,1,2015-01-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Thursday,January
142,60,1,2015-01-01,20.75,20.75,L,Chicken,The Chicken Pesto Pizza,Thursday,January
143,60,1,2015-01-01,14.75,14.75,M,Veggie,The Four Cheese Pizza,Thursday,January
144,61,1,2015-01-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Thursday,January
145,61,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
146,62,1,2015-01-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Thursday,January
147,62,1,2015-01-01,16.5,16.5,M,Supreme,The Spinach Supreme Pizza,Thursday,January
148,63,1,2015-01-01,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
149,64,1,2015-01-01,12.0,12.0,S,Classic,The Big Meat Pizza,Thursday,January
150,65,1,2015-01-01,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
151,65,1,2015-01-01,12.25,12.25,S,Supreme,The Sicilian Pizza,Thursday,January
152,65,1,2015-01-01,12.5,12.5,S,Supreme,The Spicy Italian Pizza,Thursday,January
153,65,1,2015-01-01,16.5,16.5,M,Supreme,The Spinach Supreme Pizza,Thursday,January
154,66,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
155,66,1,2015-01-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Thursday,January
156,67,1,2015-01-01,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Thursday,January
157,68,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
158,68,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
159,68,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
160,69,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
161,70,1,2015-02-01,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Sunday,February
162,70,1,2015-02-01,20.75,20.75,L,Supreme,The Soppressata Pizza,Sunday,February
163,71,1,2015-02-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Sunday,February
164,72,1,2015-02-01,20.25,20.25,L,Veggie,The Spinach and Feta Pizza,Sunday,February
165,73,1,2015-02-01,12.75,12.75,S,Chicken,The Thai Chicken Pizza,Sunday,February
166,74,1,2015-02-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Sunday,February
167,74,1,2015-02-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Sunday,February
168,74,1,2015-02-01,12.5,12.5,S,Veggie,The Spinach Pesto Pizza,Sunday,February
169,74,1,2015-02-01,20.75,20.75,L,Supreme,The Spinach Supreme Pizza,Sunday,February
170,75,1,2015-02-01,12.5,12.5,S,Supreme,The Italian Supreme Pizza,Sunday,February
171,75,1,2015-02-01,20.25,20.25,L,Veggie,The Mediterranean Pizza,Sunday,February
172,75,1,2015-02-01,20.5,20.5,L,Classic,The Napolitana Pizza,Sunday,February
173,76,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
174,76,1,2015-02-01,16.5,16.5,L,Classic,The Hawaiian Pizza,Sunday,February
175,76,1,2015-02-01,21.0,21.0,L,Veggie,The Italian Vegetables Pizza,Sunday,February
176,76,1,2015-02-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Sunday,February
177,77,1,2015-02-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Sunday,February
178,77,1,2015-02-01,13.25,13.25,M,Classic,The Hawaiian Pizza,Sunday,February
179,78,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
180,78,1,2015-02-01,12.0,12.0,S,Classic,The Classic Deluxe Pizza,Sunday,February
181,78,1,2015-02-01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Sunday,February
182,78,1,2015-02-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Sunday,February
183,78,3,2015-02-01,20.75,62.25,L,Supreme,The Spicy Italian Pizza,Sunday,February
184,78,1,2015-02-01,12.75,12.75,S,Chicken,The Thai Chicken Pizza,Sunday,February
185,79,1,2015-02-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Sunday,February
186,79,1,2015-02-01,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Sunday,February
187,79,1,2015-02-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Sunday,February
188,80,1,2015-02-01,9.75,9.75,S,Classic,The Pepperoni Pizza,Sunday,February
189,80,1,2015-02-01,16.75,16.75,M,Chicken,The Thai Chicken Pizza,Sunday,February
190,81,1,2015-02-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Sunday,February
191,82,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
192,82,1,2015-02-01,16.75,16.75,M,Chicken,The California Chicken Pizza,Sunday,February
193,82,1,2015-02-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Sunday,February
194,82,1,2015-02-01,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza,Sunday,February
195,83,1,2015-02-01,12.75,12.75,S,Chicken,The Southwest Chicken Pizza,Sunday,February
196,84,1,2015-02-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Sunday,February
197,85,1,2015-02-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Sunday,February
198,85,1,2015-02-01,12.0,12.0,S,Classic,The Classic Deluxe Pizza,Sunday,February
199,85,1,2015-02-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Sunday,February
200,85,1,2015-02-01,16.0,16.0,M,Classic,The Greek Pizza,Sunday,February
201,86,1,2015-02-01,16.5,16.5,L,Classic,The Hawaiian Pizza,Sunday,February
202,87,1,2015-02-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Sunday,February
203,87,1,2015-02-01,16.0,16.0,M,Veggie,The Mexicana Pizza,Sunday,February
204,87,1,2015-02-01,20.75,20.75,L,Supreme,The Spinach Supreme Pizza,Sunday,February
205,87,1,2015-02-01,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Sunday,February
206,88,1,2015-02-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Sunday,February
207,89,1,2015-02-01,20.75,20.75,L,Supreme,The Soppressata Pizza,Sunday,February
208,89,1,2015-02-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Sunday,February
209,90,1,2015-02-01,20.25,20.25,L,Supreme,The Sicilian Pizza,Sunday,February
210,90,1,2015-02-01,12.75,12.75,S,Chicken,The Thai Chicken Pizza,Sunday,February
211,91,2,2015-02-01,20.75,41.5,L,Chicken,The Barbecue Chicken Pizza,Sunday,February
212,91,1,2015-02-01,12.75,12.75,S,Chicken,The Chicken Pesto Pizza,Sunday,February
213,91,1,2015-02-01,9.75,9.75,S,Classic,The Pepperoni Pizza,Sunday,February
214,92,1,2015-02-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Sunday,February
215,92,1,2015-02-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Sunday,February
216,92,1,2015-02-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Sunday,February
217,92,1,2015-02-01,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Sunday,February
218,92,1,2015-02-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Sunday,February
219,92,1,2015-02-01,16.5,16.5,M,Supreme,The Pepper Salami Pizza,Sunday,February
220,92,1,2015-02-01,12.0,12.0,S,Veggie,The Spinach and Feta Pizza,Sunday,February
221,92,1,2015-02-01,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Sunday,February
222,92,2,2015-02-01,16.0,32.0,M,Classic,The Greek Pizza,Sunday,February
223,93,1,2015-02-01,16.25,16.25,M,Supreme,The Sicilian Pizza,Sunday,February
224,94,1,2015-02-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Sunday,February
225,94,1,2015-02-01,12.75,12.75,S,Chicken,The Southwest Chicken Pizza,Sunday,February
226,95,1,2015-02-01,12.0,12.0,S,Classic,The Napolitana Pizza,Sunday,February
227,95,1,2015-02-01,20.75,20.75,L,Supreme,The Pepper Salami Pizza,Sunday,February
228,96,1,2015-02-01,12.0,12.0,S,Classic,The Napolitana Pizza,Sunday,February
229,97,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
230,98,1,2015-02-01,20.5,20.5,L,Classic,The Classic Deluxe Pizza,Sunday,February
231,98,1,2015-02-01,20.5,20.5,L,Classic,The Napolitana Pizza,Sunday,February
232,99,1,2015-02-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Sunday,February
233,100,1,2015-02-01,16.5,16.5,L,Classic,The Hawaiian Pizza,Sunday,February
234,101,1,2015-02-01,20.75,20.75,L,Chicken,The California Chicken Pizza,Sunday,February
235,101,1,2015-02-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Sunday,February
236,101,1,2015-02-01,20.75,20.75,L,Supreme,The Soppressata Pizza,Sunday,February
237,101,1,2015-02-01,16.5,16.5,M,Supreme,The Spicy Italian Pizza,Sunday,February
238,102,1,2015-02-01,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza,Sunday,February
239,102,1,2015-02-01,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza,Sunday,February
240,103,1,2015-02-01,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Sunday,February
241,104,1,2015-02-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Sunday,February
242,104,1,2015-02-01,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza,Sunday,February
243,104,1,2015-02-01,16.75,16.75,M,Veggie,The Italian Vegetables Pizza,Sunday,February
244,104,1,2015-02-01,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza,Sunday,February
245,105,2,2015-02-01,10.5,21.0,S,Classic,The Hawaiian Pizza,Sunday,February
246,105,1,2015-02-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Sunday,February
247,105,1,2015-02-01,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza,Sunday,February
248,106,1,2015-02-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Sunday,February
249,106,1,2015-02-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Sunday,February
250,107,1,2015-02-01,20.75,20.75,L,Chicken,The California Chicken Pizza,Sunday,February
251,107,1,2015-02-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Sunday,February
252,107,1,2015-02-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Sunday,February
253,107,1,2015-02-01,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza,Sunday,February
254,108,1,2015-02-01,20.5,20.5,L,Classic,The Classic Deluxe Pizza,Sunday,February
255,108,1,2015-02-01,16.5,16.5,L,Classic,The Hawaiian Pizza,Sunday,February
256,108,1,2015-02-01,20.75,20.75,L,Supreme,The Spinach Supreme Pizza,Sunday,February
257,109,1,2015-02-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Sunday,February
258,109,1,2015-02-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Sunday,February
259,109,1,2015-02-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Sunday,February
260,109,1,2015-02-01,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza,Sunday,February
261,110,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
262,110,1,2015-02-01,20.5,20.5,L,Classic,The Napolitana Pizza,Sunday,February
263,110,1,2015-02-01,20.75,20.75,L,Supreme,The Soppressata Pizza,Sunday,February
264,110,1,2015-02-01,12.5,12.5,S,Supreme,The Spicy Italian Pizza,Sunday,February
265,111,1,2015-02-01,16.75,16.75,M,Chicken,The California Chicken Pizza,Sunday,February
266,111,1,2015-02-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Sunday,February
267,111,1,2015-02-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Sunday,February
268,111,1,2015-02-01,20.75,20.75,L,Veggie,The Spinach Pesto Pizza,Sunday,February
269,112,1,2015-02-01,9.75,9.75,S,Classic,The Pepperoni Pizza,Sunday,February
270,113,1,2015-02-01,20.75,20.75,L,Chicken,The California Chicken Pizza,Sunday,February
271,113,1,2015-02-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Sunday,February
272,113,1,2015-02-01,16.75,16.75,M,Chicken,The Southwest Chicken Pizza,Sunday,February
273,114,1,2015-02-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Sunday,February
274,114,1,2015-02-01,12.25,12.25,S,Supreme,The Sicilian Pizza,Sunday,February
275,115,1,2015-02-01,12.0,12.0,S,Classic,The Big Meat Pizza,Sunday,February
276,115,1,2015-02-01,20.5,20.5,L,Classic,The Napolitana Pizza,Sunday,February
277,115,1,2015-02-01,16.75,16.75,M,Chicken,The Thai Chicken Pizza,Sunday,February
278,116,1,2015-02-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Sunday,February
279,117,1,2015-02-01,16.5,16.5,M,Supreme,The Pepper Salami Pizza,Sunday,February
280,117,1,2015-02-01,20.25,20.25,L,Supreme,The Sicilian Pizza,Sunday,February
281,118,1,2015-02-01,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza,Sunday,February
282,118,1,2015-02-01,12.0,12.0,S,Veggie,The Spinach and Feta Pizza,Sunday,February
283,119,1,2015-02-01,14.75,14.75,M,Veggie,The Four Cheese Pizza,Sunday,February
284,120,1,2015-02-01,12.0,12.0,S,Classic,The Classic Deluxe Pizza,Sunday,February
285,120,1,2015-02-01,10.5,10.5,S,Classic,The Hawaiian Pizza,Sunday,February
286,120,1,2015-02-01,20.25,20.25,L,Veggie,The Spinach and Feta Pizza,Sunday,February
287,121,1,2015-02-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Sunday,February
288,121,1,2015-02-01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Sunday,February
289,121,1,2015-02-01,20.25,20.25,L,Supreme,The Sicilian Pizza,Sunday,February
